"transaction_id";"date";"year";"month";"month_name";"quarter";"product_id";"region_id";"payment_id";"units";"unit_price";"revenue"
10088;"2024-03-28";2024;3;"Mar";"T1";88;1;1;4;13.99;55.96
10089;"2024-03-29";2024;3;"Mar";"T1";89;2;2;1;105.0;105.0
10090;"2024-03-30";2024;3;"Mar";"T1";90;3;1;2;129.99;259.98
10091;"2024-03-31";2024;3;"Mar";"T1";91;1;1;2;99.99;199.98
10092;"2024-04-01";2024;4;"Abr";"T2";92;2;2;1;179.99;179.99
10093;"2024-04-02";2024;4;"Abr";"T2";93;3;3;4;79.99;319.96
10094;"2024-04-03";2024;4;"Abr";"T2";94;1;1;3;14.99;44.97
10095;"2024-04-04";2024;4;"Abr";"T2";95;2;2;1;68.0;68.0
10096;"2024-04-05";2024;4;"Abr";"T2";96;3;1;1;999.99;999.99
10097;"2024-04-06";2024;4;"Abr";"T2";97;1;1;3;299.99;899.97
10098;"2024-04-07";2024;4;"Abr";"T2";98;2;2;1;349.99;349.99
10099;"2024-04-08";2024;4;"Abr";"T2";99;3;3;6;19.99;119.94
10100;"2024-04-09";2024;4;"Abr";"T2";100;1;1;2;12.99;25.98
10101;"2024-04-10";2024;4;"Abr";"T2";101;2;2;1;82.0;82.0
10102;"2024-04-11";2024;4;"Abr";"T2";102;3;1;2;109.99;219.98
10103;"2024-04-12";2024;4;"Abr";"T2";103;1;1;1;3899.99;3899.99
10104;"2024-04-13";2024;4;"Abr";"T2";104;2;2;2;349.99;699.98
10105;"2024-04-14";2024;4;"Abr";"T2";105;3;3;3;39.99;119.97
10106;"2024-04-15";2024;4;"Abr";"T2";106;1;1;4;10.99;43.96
10107;"2024-04-16";2024;4;"Abr";"T2";107;2;2;1;6.5;6.5
10108;"2024-04-17";2024;4;"Abr";"T2";108;3;1;1;399.99;399.99
10109;"2024-04-18";2024;4;"Abr";"T2";109;1;1;2;229.99;459.98
10110;"2024-04-19";2024;4;"Abr";"T2";110;2;2;1;159.99;159.99
10111;"2024-04-20";2024;4;"Abr";"T2";111;3;3;4;14.99;59.96
10112;"2024-04-21";2024;4;"Abr";"T2";112;1;1;2;18.99;37.98
10113;"2024-04-22";2024;4;"Abr";"T2";113;2;2;1;15.0;15.0
10114;"2024-04-23";2024;4;"Abr";"T2";114;3;1;3;229.95;689.85
10115;"2024-04-24";2024;4;"Abr";"T2";115;1;1;1;249.99;249.99
10116;"2024-04-25";2024;4;"Abr";"T2";116;2;2;2;299.95;599.9
10117;"2024-04-26";2024;4;"Abr";"T2";117;3;3;3;49.99;149.97
10118;"2024-04-27";2024;4;"Abr";"T2";118;1;1;4;16.99;67.96
10119;"2024-04-28";2024;4;"Abr";"T2";119;2;2;2;14.99;29.98
10120;"2024-04-29";2024;4;"Abr";"T2";120;3;1;1;249.99;249.99
10121;"2024-04-30";2024;4;"Abr";"T2";121;1;1;2;599.99;1199.98
10122;"2024-05-01";2024;5;"Mai";"T2";122;2;2;1;89.99;89.99
10123;"2024-05-02";2024;5;"Mai";"T2";123;3;3;5;12.99;64.95
10124;"2024-05-03";2024;5;"Mai";"T2";124;1;1;3;14.99;44.97
10125;"2024-05-04";2024;5;"Mai";"T2";125;2;2;1;30.0;30.0
10126;"2024-05-05";2024;5;"Mai";"T2";126;3;1;1;199.99;199.99
10127;"2024-05-06";2024;5;"Mai";"T2";127;1;1;1;499.99;499.99
10128;"2024-05-07";2024;5;"Mai";"T2";128;2;2;2;399.99;799.98
10129;"2024-05-08";2024;5;"Mai";"T2";129;3;3;3;98.0;294.0
10130;"2024-05-09";2024;5;"Mai";"T2";130;1;1;2;8.99;17.98
10131;"2024-05-10";2024;5;"Mai";"T2";131;2;2;1;36.0;36.0
10132;"2024-05-11";2024;5;"Mai";"T2";132;3;1;4;39.95;159.8
10133;"2024-05-12";2024;5;"Mai";"T2";133;1;1;1;1299.99;1299.99
10134;"2024-05-13";2024;5;"Mai";"T2";134;2;2;2;79.99;159.98
10135;"2024-05-14";2024;5;"Mai";"T2";135;3;3;4;34.99;139.96
10136;"2024-05-15";2024;5;"Mai";"T2";136;1;1;3;9.99;29.97
10137;"2024-05-16";2024;5;"Mai";"T2";137;2;2;1;6.8;6.8
10138;"2024-05-17";2024;5;"Mai";"T2";138;3;1;2;99.95;199.9
10139;"2024-05-18";2024;5;"Mai";"T2";139;1;1;1;1499.99;1499.99
10140;"2024-05-19";2024;5;"Mai";"T2";140;2;2;1;139.99;139.99
10141;"2024-05-20";2024;5;"Mai";"T2";141;3;3;3;44.99;134.97
10142;"2024-05-21";2024;5;"Mai";"T2";142;1;1;2;11.99;23.98
10143;"2024-05-22";2024;5;"Mai";"T2";143;2;2;1;29.5;29.5
10144;"2024-05-23";2024;5;"Mai";"T2";144;3;1;1;299.99;299.99
10145;"2024-05-24";2024;5;"Mai";"T2";145;1;1;1;549.0;549.0
10146;"2024-05-25";2024;5;"Mai";"T2";146;2;2;2;199.95;399.9
10147;"2024-05-26";2024;5;"Mai";"T2";147;3;3;2;98.0;196.0
10148;"2024-05-27";2024;5;"Mai";"T2";148;1;1;3;10.99;32.97
10149;"2024-05-28";2024;5;"Mai";"T2";149;2;2;1;25.0;25.0
10150;"2024-05-29";2024;5;"Mai";"T2";150;3;1;2;149.99;299.98
10151;"2024-05-30";2024;5;"Mai";"T2";31;1;1;1;349.99;349.99
10152;"2024-05-31";2024;5;"Mai";"T2";151;2;2;2;199.99;399.98
10153;"2024-06-01";2024;6;"Jun";"T2";152;3;3;3;54.99;164.97
10154;"2024-06-02";2024;6;"Jun";"T2";153;1;1;2;16.99;33.98
10155;"2024-06-03";2024;6;"Jun";"T2";154;2;2;1;59.0;59.0
10156;"2024-06-04";2024;6;"Jun";"T2";155;3;1;1;299.99;299.99
10157;"2024-06-05";2024;6;"Jun";"T2";156;1;1;1;899.99;899.99
10158;"2024-06-06";2024;6;"Jun";"T2";157;2;2;1;499.95;499.95
10159;"2024-06-07";2024;6;"Jun";"T2";158;3;3;4;24.99;99.96
10160;"2024-06-08";2024;6;"Jun";"T2";159;1;1;3;7.99;23.97
10161;"2024-06-09";2024;6;"Jun";"T2";160;2;2;1;36.0;36.0
10162;"2024-06-10";2024;6;"Jun";"T2";161;3;1;2;34.99;69.98
10163;"2024-06-11";2024;6;"Jun";"T2";162;1;1;1;1199.99;1199.99
10164;"2024-06-12";2024;6;"Jun";"T2";163;2;2;1;199.99;199.99
10165;"2024-06-13";2024;6;"Jun";"T2";164;3;3;5;29.99;149.95
10166;"2024-06-14";2024;6;"Jun";"T2";165;1;1;4;8.99;35.96
10167;"2024-06-15";2024;6;"Jun";"T2";166;2;2;1;16.99;16.99
10168;"2024-06-16";2024;6;"Jun";"T2";167;3;1;3;49.99;149.97
10169;"2024-06-17";2024;6;"Jun";"T2";168;1;1;1;699.99;699.99
10170;"2024-06-18";2024;6;"Jun";"T2";169;2;2;2;139.99;279.98
10171;"2024-06-19";2024;6;"Jun";"T2";170;3;3;3;34.99;104.97
10172;"2024-06-20";2024;6;"Jun";"T2";171;1;1;2;9.99;19.98
10173;"2024-06-21";2024;6;"Jun";"T2";172;2;2;1;29.5;29.5
10174;"2024-06-22";2024;6;"Jun";"T2";173;3;1;1;699.99;699.99
10175;"2024-06-23";2024;6;"Jun";"T2";174;1;1;3;49.99;149.97
10176;"2024-06-24";2024;6;"Jun";"T2";175;2;2;2;49.99;99.98
10177;"2024-06-25";2024;6;"Jun";"T2";176;3;3;4;14.9;59.6
10178;"2024-06-26";2024;6;"Jun";"T2";177;1;1;3;11.99;35.97
10179;"2024-06-27";2024;6;"Jun";"T2";178;2;2;2;34.0;68.0
10180;"2024-06-28";2024;6;"Jun";"T2";179;3;1;1;146.0;146.0
10181;"2024-06-29";2024;6;"Jun";"T2";180;1;1;1;649.99;649.99
10182;"2024-06-30";2024;6;"Jun";"T2";181;2;2;1;399.99;399.99
10183;"2024-07-01";2024;7;"Jul";"T3";182;3;3;3;59.99;179.97
10184;"2024-07-02";2024;7;"Jul";"T3";183;1;1;2;12.99;25.98
10185;"2024-07-03";2024;7;"Jul";"T3";184;2;2;1;190.0;190.0
10186;"2024-07-04";2024;7;"Jul";"T3";185;3;1;1;499.95;499.95
10187;"2024-07-05";2024;7;"Jul";"T3";186;1;1;1;399.0;399.0
10188;"2024-07-06";2024;7;"Jul";"T3";187;2;2;2;199.0;398.0
10189;"2024-07-07";2024;7;"Jul";"T3";188;3;3;4;34.99;139.96
10190;"2024-07-08";2024;7;"Jul";"T3";88;1;1;3;10.99;32.97
10191;"2024-07-09";2024;7;"Jul";"T3";189;2;2;1;18.0;18.0
10192;"2024-07-10";2024;7;"Jul";"T3";190;3;1;1;169.95;169.95
10193;"2024-07-11";2024;7;"Jul";"T3";191;1;1;1;199.99;199.99
10194;"2024-07-12";2024;7;"Jul";"T3";192;2;2;1;199.95;199.95
10195;"2024-07-13";2024;7;"Jul";"T3";193;3;3;2;179.99;359.98
10196;"2024-07-14";2024;7;"Jul";"T3";194;1;1;2;11.99;23.98
10197;"2024-07-15";2024;7;"Jul";"T3";195;2;2;1;125.0;125.0
10198;"2024-07-16";2024;7;"Jul";"T3";196;3;1;1;449.99;449.99
10199;"2024-07-17";2024;7;"Jul";"T3";197;1;1;2;179.0;358.0
10200;"2024-07-18";2024;7;"Jul";"T3";198;2;2;1;99.95;99.95
10201;"2024-07-19";2024;7;"Jul";"T3";199;3;3;3;59.99;179.97
10202;"2024-07-20";2024;7;"Jul";"T3";200;1;1;2;14.99;29.98
10203;"2024-07-21";2024;7;"Jul";"T3";201;2;2;1;52.0;52.0
10204;"2024-07-22";2024;7;"Jul";"T3";202;3;1;1;399.99;399.99
10205;"2024-07-23";2024;7;"Jul";"T3";203;1;1;1;299.99;299.99
10206;"2024-07-24";2024;7;"Jul";"T3";204;2;2;1;379.99;379.99
10207;"2024-07-25";2024;7;"Jul";"T3";205;3;3;2;98.0;196.0
10208;"2024-07-26";2024;7;"Jul";"T3";206;1;1;3;16.99;50.97
10209;"2024-07-27";2024;7;"Jul";"T3";207;2;2;1;79.0;79.0
10210;"2024-07-28";2024;7;"Jul";"T3";208;3;1;1;129.0;129.0
10211;"2024-07-29";2024;7;"Jul";"T3";209;1;1;1;749.99;749.99
10212;"2024-07-30";2024;7;"Jul";"T3";14;2;2;2;169.99;339.98
10213;"2024-07-31";2024;7;"Jul";"T3";210;3;3;4;9.9;39.6
10214;"2024-08-01";2024;8;"Ago";"T3";171;1;1;3;10.99;32.97
10215;"2024-08-02";2024;8;"Ago";"T3";211;2;2;2;29.0;58.0
10216;"2024-08-03";2024;8;"Ago";"T3";212;3;1;1;349.99;349.99
10217;"2024-08-04";2024;8;"Ago";"T3";213;1;1;1;2399.0;2399.0
10218;"2024-08-05";2024;8;"Ago";"T3";214;2;2;1;449.99;449.99
10219;"2024-08-06";2024;8;"Ago";"T3";215;3;3;3;49.99;149.97
10220;"2024-08-07";2024;8;"Ago";"T3";216;1;1;2;12.99;25.98
10221;"2024-08-08";2024;8;"Ago";"T3";217;2;2;1;27.0;27.0
10222;"2024-08-09";2024;8;"Ago";"T3";218;3;1;1;599.99;599.99
10223;"2024-08-10";2024;8;"Ago";"T3";219;1;1;4;49.99;199.96
10224;"2024-08-11";2024;8;"Ago";"T3";220;2;2;2;229.99;459.98
10225;"2024-08-12";2024;8;"Ago";"T3";221;3;3;2;44.99;89.98
10226;"2024-08-13";2024;8;"Ago";"T3";52;1;1;3;26.99;80.97
10227;"2024-08-14";2024;8;"Ago";"T3";222;2;2;1;6.7;6.7
10228;"2024-08-15";2024;8;"Ago";"T3";223;3;1;2;149.95;299.9
10229;"2024-08-16";2024;8;"Ago";"T3";224;1;1;1;169.0;169.0
10230;"2024-08-17";2024;8;"Ago";"T3";225;2;2;1;599.0;599.0
10231;"2024-08-18";2024;8;"Ago";"T3";226;3;3;4;64.99;259.96
10232;"2024-08-19";2024;8;"Ago";"T3";10;1;1;2;9.99;19.98
10233;"2024-08-20";2024;8;"Ago";"T3";227;2;2;1;24.0;24.0
10234;"2024-08-21";2024;8;"Ago";"T3";228;3;1;3;32.95;98.85
10235;"2024-08-22";2024;8;"Ago";"T3";229;1;1;1;299.0;299.0
10236;"2024-08-23";2024;8;"Ago";"T3";230;2;2;1;159.99;159.99
10237;"2024-08-24";2024;8;"Ago";"T3";231;3;3;3;90.0;270.0
10238;"2024-08-25";2024;8;"Ago";"T3";232;1;1;3;10.99;32.97
10239;"2024-08-26";2024;8;"Ago";"T3";233;2;2;1;55.0;55.0
10240;"2024-08-27";2024;8;"Ago";"T3";234;3;1;2;29.99;59.98
